zone,timestamp,observed_count,zone_capacity,occupancy_percentage
corridor_A_G,2026-03-22 10:00:00,10,180,0.05555555555555555
elevator_lobby_G,2026-03-22 10:00:00,2,100,0.02
cafeteria,2026-03-22 10:00:00,12,220,0.05454545454545454
study_hall_1,2026-03-22 10:00:00,1,120,0.008333333333333333
corridor_A_G,2026-03-22 10:15:00,6,180,0.03333333333333333
elevator_lobby_G,2026-03-22 10:15:00,5,100,0.05
cafeteria,2026-03-22 10:15:00,9,220,0.04090909090909091
study_hall_1,2026-03-22 10:15:00,2,120,0.016666666666666666
corridor_A_G,2026-03-22 10:30:00,6,180,0.03333333333333333
elevator_lobby_G,2026-03-22 10:30:00,4,100,0.04
cafeteria,2026-03-22 10:30:00,6,220,0.02727272727272727
study_hall_1,2026-03-22 10:30:00,6,120,0.05
corridor_A_G,2026-03-22 10:45:00,0,180,0.0
elevator_lobby_G,2026-03-22 10:45:00,0,100,0.0
cafeteria,2026-03-22 10:45:00,21,220,0.09545454545454546
study_hall_1,2026-03-22 10:45:00,11,120,0.09166666666666666
corridor_A_G,2026-03-22 11:00:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-22 11:00:00,4,100,0.04
cafeteria,2026-03-22 11:00:00,28,220,0.12727272727272726
study_hall_1,2026-03-22 11:00:00,8,120,0.06666666666666667
corridor_A_G,2026-03-22 11:15:00,0,180,0.0
elevator_lobby_G,2026-03-22 11:15:00,1,100,0.01
cafeteria,2026-03-22 11:15:00,20,220,0.09090909090909091
study_hall_1,2026-03-22 11:15:00,3,120,0.025
corridor_A_G,2026-03-22 11:30:00,5,180,0.027777777777777776
elevator_lobby_G,2026-03-22 11:30:00,3,100,0.03
cafeteria,2026-03-22 11:30:00,14,220,0.06363636363636363
study_hall_1,2026-03-22 11:30:00,9,120,0.075
corridor_A_G,2026-03-22 11:45:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-22 11:45:00,4,100,0.04
cafeteria,2026-03-22 11:45:00,14,220,0.06363636363636363
study_hall_1,2026-03-22 11:45:00,14,120,0.11666666666666667
corridor_A_G,2026-03-22 12:00:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-22 12:00:00,0,100,0.0
cafeteria,2026-03-22 12:00:00,6,220,0.02727272727272727
study_hall_1,2026-03-22 12:00:00,12,120,0.1
corridor_A_G,2026-03-22 12:15:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-22 12:15:00,3,100,0.03
cafeteria,2026-03-22 12:15:00,28,220,0.12727272727272726
study_hall_1,2026-03-22 12:15:00,21,120,0.175
corridor_A_G,2026-03-22 12:30:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-22 12:30:00,1,100,0.01
cafeteria,2026-03-22 12:30:00,27,220,0.12272727272727273
study_hall_1,2026-03-22 12:30:00,17,120,0.14166666666666666
corridor_A_G,2026-03-22 12:45:00,10,180,0.05555555555555555
elevator_lobby_G,2026-03-22 12:45:00,0,100,0.0
cafeteria,2026-03-22 12:45:00,28,220,0.12727272727272726
study_hall_1,2026-03-22 12:45:00,8,120,0.06666666666666667
corridor_A_G,2026-03-22 13:00:00,9,180,0.05
elevator_lobby_G,2026-03-22 13:00:00,0,100,0.0
cafeteria,2026-03-22 13:00:00,21,220,0.09545454545454546
study_hall_1,2026-03-22 13:00:00,8,120,0.06666666666666667
corridor_A_G,2026-03-22 13:15:00,9,180,0.05
elevator_lobby_G,2026-03-22 13:15:00,3,100,0.03
cafeteria,2026-03-22 13:15:00,24,220,0.10909090909090909
study_hall_1,2026-03-22 13:15:00,2,120,0.016666666666666666
corridor_A_G,2026-03-22 13:30:00,6,180,0.03333333333333333
elevator_lobby_G,2026-03-22 13:30:00,1,100,0.01
cafeteria,2026-03-22 13:30:00,11,220,0.05
study_hall_1,2026-03-22 13:30:00,4,120,0.03333333333333333
corridor_A_G,2026-03-22 13:45:00,3,180,0.016666666666666666
elevator_lobby_G,2026-03-22 13:45:00,0,100,0.0
cafeteria,2026-03-22 13:45:00,46,220,0.20909090909090908
study_hall_1,2026-03-22 13:45:00,20,120,0.16666666666666666
corridor_A_G,2026-03-23 10:00:00,7,180,0.03888888888888889
elevator_lobby_G,2026-03-23 10:00:00,4,100,0.04
cafeteria,2026-03-23 10:00:00,7,220,0.031818181818181815
study_hall_1,2026-03-23 10:00:00,1,120,0.008333333333333333
corridor_A_G,2026-03-23 10:15:00,3,180,0.016666666666666666
elevator_lobby_G,2026-03-23 10:15:00,0,100,0.0
cafeteria,2026-03-23 10:15:00,7,220,0.031818181818181815
study_hall_1,2026-03-23 10:15:00,1,120,0.008333333333333333
corridor_A_G,2026-03-23 10:30:00,3,180,0.016666666666666666
elevator_lobby_G,2026-03-23 10:30:00,0,100,0.0
cafeteria,2026-03-23 10:30:00,7,220,0.031818181818181815
study_hall_1,2026-03-23 10:30:00,0,120,0.0
corridor_A_G,2026-03-23 10:45:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-23 10:45:00,1,100,0.01
cafeteria,2026-03-23 10:45:00,13,220,0.05909090909090909
study_hall_1,2026-03-23 10:45:00,3,120,0.025
corridor_A_G,2026-03-23 11:00:00,0,180,0.0
elevator_lobby_G,2026-03-23 11:00:00,0,100,0.0
cafeteria,2026-03-23 11:00:00,13,220,0.05909090909090909
study_hall_1,2026-03-23 11:00:00,4,120,0.03333333333333333
corridor_A_G,2026-03-23 11:15:00,0,180,0.0
elevator_lobby_G,2026-03-23 11:15:00,2,100,0.02
cafeteria,2026-03-23 11:15:00,11,220,0.05
study_hall_1,2026-03-23 11:15:00,5,120,0.041666666666666664
corridor_A_G,2026-03-23 11:30:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-23 11:30:00,3,100,0.03
cafeteria,2026-03-23 11:30:00,12,220,0.05454545454545454
study_hall_1,2026-03-23 11:30:00,5,120,0.041666666666666664
corridor_A_G,2026-03-23 11:45:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-23 11:45:00,1,100,0.01
cafeteria,2026-03-23 11:45:00,8,220,0.03636363636363636
study_hall_1,2026-03-23 11:45:00,7,120,0.058333333333333334
corridor_A_G,2026-03-23 12:00:00,2,180,0.011111111111111112
elevator_lobby_G,2026-03-23 12:00:00,5,100,0.05
cafeteria,2026-03-23 12:00:00,5,220,0.022727272727272728
study_hall_1,2026-03-23 12:00:00,10,120,0.08333333333333333
corridor_A_G,2026-03-23 12:15:00,0,180,0.0
elevator_lobby_G,2026-03-23 12:15:00,6,100,0.06
cafeteria,2026-03-23 12:15:00,22,220,0.1
study_hall_1,2026-03-23 12:15:00,24,120,0.2
corridor_A_G,2026-03-23 12:30:00,3,180,0.016666666666666666
elevator_lobby_G,2026-03-23 12:30:00,5,100,0.05
cafeteria,2026-03-23 12:30:00,21,220,0.09545454545454546
study_hall_1,2026-03-23 12:30:00,15,120,0.125
corridor_A_G,2026-03-23 12:45:00,4,180,0.022222222222222223
elevator_lobby_G,2026-03-23 12:45:00,13,100,0.13
cafeteria,2026-03-23 12:45:00,18,220,0.08181818181818182
study_hall_1,2026-03-23 12:45:00,16,120,0.13333333333333333
corridor_A_G,2026-03-23 13:00:00,4,180,0.022222222222222223
elevator_lobby_G,2026-03-23 13:00:00,6,100,0.06
cafeteria,2026-03-23 13:00:00,23,220,0.10454545454545454
study_hall_1,2026-03-23 13:00:00,13,120,0.10833333333333334
corridor_A_G,2026-03-23 13:15:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-23 13:15:00,5,100,0.05
cafeteria,2026-03-23 13:15:00,17,220,0.07727272727272727
study_hall_1,2026-03-23 13:15:00,11,120,0.09166666666666666
corridor_A_G,2026-03-23 13:30:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-23 13:30:00,7,100,0.07
cafeteria,2026-03-23 13:30:00,14,220,0.06363636363636363
study_hall_1,2026-03-23 13:30:00,4,120,0.03333333333333333
corridor_A_G,2026-03-23 13:45:00,3,180,0.016666666666666666
elevator_lobby_G,2026-03-23 13:45:00,0,100,0.0
cafeteria,2026-03-23 13:45:00,23,220,0.10454545454545454
study_hall_1,2026-03-23 13:45:00,9,120,0.075
corridor_A_G,2026-03-24 10:00:00,0,180,0.0
elevator_lobby_G,2026-03-24 10:00:00,7,100,0.07
cafeteria,2026-03-24 10:00:00,21,220,0.09545454545454546
study_hall_1,2026-03-24 10:00:00,13,120,0.10833333333333334
corridor_A_G,2026-03-24 10:15:00,8,180,0.044444444444444446
elevator_lobby_G,2026-03-24 10:15:00,2,100,0.02
cafeteria,2026-03-24 10:15:00,20,220,0.09090909090909091
study_hall_1,2026-03-24 10:15:00,8,120,0.06666666666666667
corridor_A_G,2026-03-24 10:30:00,11,180,0.06111111111111111
elevator_lobby_G,2026-03-24 10:30:00,6,100,0.06
cafeteria,2026-03-24 10:30:00,20,220,0.09090909090909091
study_hall_1,2026-03-24 10:30:00,8,120,0.06666666666666667
corridor_A_G,2026-03-24 10:45:00,4,180,0.022222222222222223
elevator_lobby_G,2026-03-24 10:45:00,3,100,0.03
cafeteria,2026-03-24 10:45:00,29,220,0.1318181818181818
study_hall_1,2026-03-24 10:45:00,7,120,0.058333333333333334
corridor_A_G,2026-03-24 11:00:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-24 11:00:00,0,100,0.0
cafeteria,2026-03-24 11:00:00,31,220,0.1409090909090909
study_hall_1,2026-03-24 11:00:00,0,120,0.0
corridor_A_G,2026-03-24 11:15:00,1,180,0.005555555555555556
elevator_lobby_G,2026-03-24 11:15:00,0,100,0.0
cafeteria,2026-03-24 11:15:00,22,220,0.1
study_hall_1,2026-03-24 11:15:00,3,120,0.025
corridor_A_G,2026-03-24 11:30:00,0,180,0.0
elevator_lobby_G,2026-03-24 11:30:00,0,100,0.0
cafeteria,2026-03-24 11:30:00,18,220,0.08181818181818182
study_hall_1,2026-03-24 11:30:00,0,120,0.0
corridor_A_G,2026-03-24 11:45:00,0,180,0.0
elevator_lobby_G,2026-03-24 11:45:00,5,100,0.05
cafeteria,2026-03-24 11:45:00,18,220,0.08181818181818182
study_hall_1,2026-03-24 11:45:00,0,120,0.0
